ewc_loss,kl_loss,win_rate_nobomb,win_rate_simple
[[0.00016882]],0.2644891,,
[[8.963354e-06]],0.20105177,,
[[6.609927e-06]],0.18751852,,
[[3.5803405e-06]],0.16183145,,
[[4.8371044e-06]],0.15686157,,
[[1.9057734e-05]],0.120899804,,
[[6.5808067e-06]],0.13491297,,
[[2.8394335e-05]],0.12093523,,
[[0.00021441]],0.105773166,,
[[5.0630697e-06]],0.11279936,,
[[7.642373e-05]],0.10997797,,
[[2.778309e-06]],0.10131172,,
[[3.07316e-05]],0.113276094,,
[[1.4185395e-05]],0.08462726,,
[[3.7360052e-05]],0.102472,,
[[3.4400102e-05]],0.10079925,,
,,0.54,0.98
[[0.0001181]],0.09323448,,
[[4.9366932e-05]],0.082758754,,
[[2.8416366e-06]],0.07965067,,
[[0.00053025]],0.0689652,,
[[0.00045904]],0.08709247,,
[[0.00030853]],0.06999481,,
[[4.5445054e-06]],0.07426418,,
[[0.00038877]],0.0688963,,
[[3.0338655e-05]],0.07376537,,
[[2.127479e-05]],0.073244095,,
[[4.332305e-05]],0.0831991,,
[[0.00198462]],0.07980262,,
[[3.3788834e-05]],0.06778066,,
[[3.2187056e-06]],0.063727744,,
[[0.00063229]],0.06849391,,
[[1.3008975e-05]],0.06055863,,
,,0.66,0.96
[[2.4090506e-05]],0.06491262,,
[[0.00010249]],0.057545748,,
[[0.00024478]],0.05781486,,
[[4.34805e-06]],0.049911264,,
[[0.00027745]],0.06218033,,
[[0.00046998]],0.06125481,,
[[0.00061118]],0.056781355,,
[[3.3439068e-05]],0.05956549,,
[[1.7656728e-05]],0.05965144,,
[[0.00100311]],0.05883096,,
[[2.7470787e-05]],0.07440966,,
[[7.236041e-05]],0.068149105,,
[[0.00062642]],0.06615914,,
[[2.1863862e-05]],0.05889041,,
[[0.00012495]],0.04538822,,
[[4.6309957e-05]],0.061372064,,
,,0.74,0.92
[[0.00038615]],0.047785416,,
[[0.00028503]],0.058347158,,
[[0.00111999]],0.058716055,,
[[0.00012623]],0.044231504,,
[[0.00063266]],0.055954076,,
[[1.016469e-05]],0.05325014,,
[[4.856055e-05]],0.0531083,,
[[0.00045034]],0.051506605,,
[[8.281013e-06]],0.049145363,,
[[0.00064389]],0.055613995,,
[[0.00017199]],0.059067816,,
[[3.8827176e-05]],0.05890354,,
[[0.00021383]],0.050824415,,
[[0.00011375]],0.055689234,,
[[1.0984015e-05]],0.051007494,,
[[0.0005334]],0.047318634,,
,,0.74,0.9
[[0.00011024]],0.05035253,,
[[0.00021124]],0.046919484,,
[[5.3047454e-05]],0.042113714,,
[[2.2368098e-05]],0.045466986,,
[[5.9912436e-06]],0.047427736,,
[[0.00010459]],0.0538248,,
[[5.509112e-05]],0.050932895,,
[[0.00011066]],0.04701461,,
[[2.6196403e-05]],0.05407887,,
[[0.00065914]],0.061563395,,
[[2.118194e-05]],0.050625313,,
[[0.00017977]],0.057254,,
[[2.4553692e-05]],0.043945823,,
[[1.773619e-05]],0.054350864,,
[[0.00013231]],0.04873334,,
[[5.360397e-06]],0.05239691,,
,,0.62,0.92
[[0.00013116]],0.04518524,,
[[0.00093869]],0.047395132,,
[[8.661668e-05]],0.046686374,,
[[0.0009286]],0.044539534,,
[[0.00010386]],0.045529924,,
[[0.00020686]],0.051684987,,
[[0.0001302]],0.04878058,,
[[0.00013046]],0.049498416,,
[[0.00040705]],0.04274564,,
[[4.0202183e-05]],0.050324265,,
[[6.274215e-05]],0.05882366,,
[[8.286856e-05]],0.0385407,,
[[2.1869015e-05]],0.037233315,,
[[0.00021128]],0.04458332,,
[[3.4752644e-05]],0.051337447,,
[[3.756207e-05]],0.05409423,,
,,0.72,0.9
[[9.385618e-05]],0.039697703,,
[[9.661723e-05]],0.050142948,,
[[0.00048459]],0.03835036,,
[[2.7003352e-05]],0.040767,,
[[7.228391e-05]],0.043644443,,
[[3.252585e-05]],0.040207185,,
[[0.00066477]],0.03689677,,
[[0.00094037]],0.042870678,,
[[3.190129e-05]],0.043358423,,
[[5.863648e-05]],0.043673504,,
[[0.00412193]],0.041506734,,
[[7.699796e-05]],0.047010254,,
[[7.1130107e-06]],0.05038391,,
[[1.867579e-05]],0.04300719,,
[[0.00015966]],0.05669734,,
[[1.1241663e-05]],0.045950722,,
,,0.8,0.88
[[0.00087094]],0.046397403,,
[[6.4601496e-05]],0.035305377,,
[[1.0663932e-05]],0.035427377,,
[[7.756346e-06]],0.039976176,,
[[2.6830045e-05]],0.045964967,,
[[0.00073626]],0.04126997,,
[[2.7237895e-05]],0.04714796,,
[[0.00013992]],0.04105239,,
[[2.1112917e-05]],0.043387298,,
[[0.00041514]],0.041818667,,
[[6.596111e-05]],0.034883138,,
[[3.6438913e-05]],0.042313207,,
[[0.00016449]],0.046916854,,
[[0.0007943]],0.052477427,,
[[3.7174974e-05]],0.04464591,,
[[0.00030039]],0.03536532,,
,,0.7,0.86
[[4.076026e-05]],0.048558667,,
[[8.501409e-05]],0.05412221,,
[[1.0344327e-05]],0.040893387,,
[[0.00073267]],0.04452511,,
[[1.5132162e-05]],0.045307104,,
[[0.00029276]],0.033983473,,
[[4.7910594e-06]],0.0407848,,
[[0.00077591]],0.047391772,,
[[7.977807e-06]],0.0383032,,
[[6.45432e-05]],0.050378848,,
[[1.0293997e-05]],0.043612782,,
[[6.436695e-05]],0.03438572,,
[[9.4857656e-05]],0.036210638,,
[[0.00010007]],0.0420598,,
[[4.5963454e-05]],0.03600903,,
[[9.9478195e-05]],0.04553863,,
,,0.76,0.9
[[7.083932e-05]],0.039291464,,
[[2.6720601e-05]],0.032797556,,
[[0.00036073]],0.035445537,,
[[1.4923417e-05]],0.050154153,,
[[0.00077476]],0.04411925,,
[[8.72585e-05]],0.03324228,,
[[0.0001123]],0.04844254,,
[[2.7170725e-05]],0.04602624,,
[[7.48769e-05]],0.043413043,,
[[8.28067e-05]],0.046686854,,
[[0.00200225]],0.04636725,,
[[3.278848e-05]],0.033080496,,
[[5.0804e-05]],0.039661337,,
[[2.1210204e-05]],0.038006376,,
[[0.00010709]],0.03399283,,
[[5.843861e-05]],0.038647592,,
,,0.8,0.86
[[0.00012442]],0.034158442,,
[[0.00023676]],0.03706924,,
[[0.00023653]],0.038687035,,
[[0.00020158]],0.03986624,,
[[2.0168336e-05]],0.036400117,,
[[6.916499e-05]],0.044741664,,
[[0.00010164]],0.037570234,,
[[9.310521e-05]],0.03441274,,
[[0.00010403]],0.034066763,,
[[0.00087138]],0.03717444,,
[[5.588118e-05]],0.036745097,,
[[1.5927799e-05]],0.03788987,,
[[0.00169692]],0.036873378,,
[[6.058464e-05]],0.035343666,,
[[1.3090736e-05]],0.03922766,,
[[0.00025305]],0.039879702,,
,,0.8,0.94
[[4.8985552e-05]],0.034716517,,
[[7.158554e-05]],0.035023205,,
[[3.467023e-05]],0.043041624,,
[[2.1829304e-05]],0.03925572,,
[[6.173697e-05]],0.041773576,,
[[9.262796e-06]],0.035327315,,
[[0.0003216]],0.04218872,,
[[6.806317e-05]],0.04587119,,
[[3.4912357e-06]],0.032312296,,
[[0.00073414]],0.040186454,,
[[5.136038e-05]],0.04057705,,
[[7.3528725e-05]],0.040014967,,
[[0.00113515]],0.04005637,,
[[0.00081012]],0.0340952,,
[[6.83113e-05]],0.038967174,,
[[9.25425e-05]],0.032675307,,
,,0.74,0.9
[[0.00022992]],0.03641983,,
[[0.0004068]],0.038280595,,
[[0.00021392]],0.03718951,,
[[2.657305e-05]],0.037422325,,
[[0.00025264]],0.037810296,,
[[8.617598e-05]],0.036186587,,
[[0.00209804]],0.03771533,,
[[5.8272235e-05]],0.033861805,,
[[0.0016201]],0.035429858,,
[[0.00022839]],0.036041077,,
[[0.00032941]],0.036203723,,
[[3.0843934e-05]],0.041431565,,
[[0.00023307]],0.04048967,,
[[5.727864e-05]],0.04059763,,
[[0.00036219]],0.03528677,,
[[0.00011351]],0.036324553,,
,,0.7,0.88
[[4.6947374e-05]],0.033703994,,
[[4.1693e-05]],0.040851064,,
[[0.00055743]],0.03422631,,
[[0.00051706]],0.035671793,,
[[1.6532778e-05]],0.04234692,,
[[3.0855547e-06]],0.03373791,,
[[4.4212935e-05]],0.037867423,,
[[9.248127e-06]],0.037811786,,
[[0.00093598]],0.03297284,,
[[4.996709e-05]],0.036947854,,
[[0.00058585]],0.040493168,,
[[1.3687341e-05]],0.038029622,,
[[0.00013321]],0.04045272,,
[[9.549846e-05]],0.049211826,,
[[0.00015245]],0.03469245,,
[[0.00037829]],0.033225212,,
,,0.88,0.96
[[0.00015477]],0.035459854,,
[[5.291009e-05]],0.036530085,,
[[1.5096215e-05]],0.05304475,,
[[6.4819884e-05]],0.03694351,,
[[0.00041591]],0.03572592,,
[[6.4010173e-06]],0.040782787,,
[[6.918165e-05]],0.03083251,,
[[5.6401324e-05]],0.04368464,,
[[0.00022602]],0.030415202,,
[[0.00029922]],0.034446526,,
[[0.00106037]],0.03967163,,
[[8.632437e-05]],0.03429943,,
[[3.3257595e-06]],0.049347196,,
[[0.0001964]],0.040083863,,
[[2.4842533e-05]],0.035799984,,
[[0.00039724]],0.0371623,,
,,0.92,0.9
[[5.9093247e-05]],0.032960583,,
[[0.00199188]],0.031141326,,
[[2.052156e-05]],0.030883403,,
[[0.00157997]],0.044388544,,
[[2.2153432e-05]],0.041543376,,
[[4.1871062e-05]],0.04463639,,
[[0.00015046]],0.036423545,,
[[7.4298485e-05]],0.042240087,,
[[1.948275e-05]],0.041578457,,
[[0.00117234]],0.03048019,,
[[2.5466346e-05]],0.03656068,,
[[0.00014948]],0.04078346,,
[[5.494074e-05]],0.036481813,,
[[7.5116346e-05]],0.03735313,,
[[0.00036384]],0.033218786,,
[[0.00017797]],0.033924274,,
,,0.78,0.9
[[0.00019031]],0.040896863,,
[[2.0758627e-05]],0.032183304,,
[[0.00024358]],0.04344893,,
[[9.052916e-05]],0.041424513,,
[[1.1465718e-05]],0.035893537,,
[[0.00051672]],0.03401187,,
[[0.00156556]],0.030573728,,
[[9.064253e-05]],0.036591645,,
[[0.00016031]],0.041163817,,
[[0.00080574]],0.04077077,,
[[4.0152085e-05]],0.034650594,,
[[8.86527e-06]],0.0335335,,
